"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  4.77    ,  0.17  
Al2O3   ,  5.48    ,  0.19  
SiO2    , 56.23    ,  0.64  
P2O5    ,  1.24    ,  0.07  
SO3     , 10.78    ,  0.12  
Cl      ,  1.54    ,  0.02  
K2O     ,  0.44    ,  0.02  
CaO     ,  5.98    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.03    ,  0.04  
FeO     ,  9.43    ,  0.13  
Ni      ,  0.0160  ,  0.0010
Zn      ,  0.0107  ,  0.0005
Br      ,  0.0336  ,  0.0015
