"Target: Okoruso_full_drill_tailings, Contains DAT files: APB_516238368ESC13380540938_______M1.DAT"
 7135.7  ,    6396
 7160.1  ,    3960
 7184.4  ,    2354
 7208.8  ,    1244
 7233.2  ,     630
 7257.5  ,     367
 7281.9  ,     229
 7306.2  ,     212
 7330.6  ,     204
 7354.9  ,     221
 7379.3  ,     256
 7403.7  ,     348
 7428.0  ,     370
 7452.4  ,     395
 7476.7  ,     357
 7501.1  ,     319
 7525.4  ,     278
 7549.8  ,     258
 7574.2  ,     211
 7598.5  ,     172
 7622.9  ,     138
 7647.2  ,     120
 7671.6  ,     142
 7695.9  ,     118
 7720.3  ,     141
 7744.7  ,     113
 7769.0  ,     135
 7793.4  ,     153
 7817.7  ,     105
 7842.1  ,     126
 7866.4  ,     115
 7890.8  ,     139
 7915.2  ,     166
 7939.5  ,     143
 7963.9  ,     163
 7988.2  ,     127
 8012.6  ,     142
 8036.9  ,     139
 8061.3  ,     137
 8085.7  ,     133
 8110.0  ,     148
 8134.4  ,     143
 8158.7  ,     157
 8183.1  ,     157
 8207.4  ,     152
 8231.8  ,     150
 8256.1  ,     148
 8280.5  ,     140
 8304.9  ,     121
 8329.2  ,     138
 8353.6  ,     138
 8377.9  ,     144
 8402.3  ,     156
 8426.6  ,     138
 8451.0  ,     168
 8475.4  ,     171
 8499.7  ,     252
 8524.1  ,     327
 8548.4  ,     330
 8572.8  ,     416
 8597.1  ,     445
 8621.5  ,     419
 8645.9  ,     442
 8670.2  ,     372
 8694.6  ,     322
 8718.9  ,     252
 8743.3  ,     171
 8767.6  ,     146
 8792.0  ,     130
 8816.4  ,     122
 8840.7  ,     117
 8865.1  ,     106
 8889.4  ,     128
 8913.8  ,     118
 8938.1  ,     113
 8962.5  ,     110
 8986.9  ,     119
 9011.2  ,     114
 9035.6  ,     130
 9059.9  ,     105
 9084.3  ,     107
 9108.6  ,     101
 9133.0  ,     143
 9157.4  ,     132
 9181.7  ,     138
 9206.1  ,     118
 9230.4  ,     151
 9254.8  ,     125
 9279.1  ,     140
 9303.5  ,     126
 9327.9  ,     107
 9352.2  ,     124
 9376.6  ,     133
 9400.9  ,     118
 9425.3  ,     142
 9449.6  ,     118
 9474.0  ,     154
 9498.3  ,     144
 9522.7  ,     136
 9547.1  ,     165
 9571.4  ,     164
 9595.8  ,     153
 9620.1  ,     120
 9644.5  ,     141
 9668.8  ,     124
 9693.2  ,     134
 9717.6  ,     128
 9741.9  ,     122
 9766.3  ,     100
 9790.6  ,     117
 9815.0  ,     121
 9839.3  ,     139
 9863.7  ,     135
 9888.1  ,     126
 9912.4  ,     141
 9936.8  ,     124
 9961.1  ,     115
 9985.5  ,     139
10009.8  ,     108
10034.2  ,     117
10058.6  ,      91
10082.9  ,      92
10107.3  ,     115
10131.6  ,     111
10156.0  ,     107
10180.3  ,     102
10204.7  ,      92
10229.1  ,     104
10253.4  ,     113
10277.8  ,     108
10302.1  ,     104
10326.5  ,     124
10350.8  ,     113
10375.2  ,      99
10399.6  ,     101
10423.9  ,      97
10448.3  ,     119
10472.6  ,     120
10497.0  ,     129
10521.3  ,     132
