"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  9.76    ,  0.25  
Al2O3   ,  9.06    ,  0.19  
SiO2    , 44.59    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.12    ,  0.08  
Cl      ,  0.48    ,  0.02  
K2O     ,  0.40    ,  0.02  
CaO     ,  7.25    ,  0.08  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.48    ,  0.01  
MnO     ,  0.42    ,  0.01  
FeO     , 20.13    ,  0.26  
Ni      ,  0.0529  ,  0.0030
Zn      ,  0.0210  ,  0.0010
Br      ,  0.0038  ,  0.0005
