"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  4.57    ,  0.17  
Al2O3   ,  9.73    ,  0.29  
SiO2    , 48.34    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  5.41    ,  0.08  
Cl      ,  1.99    ,  0.03  
K2O     ,  1.14    ,  0.04  
CaO     ,  3.55    ,  0.04  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 19.98    ,  0.26  
Ni      ,  0.0907  ,  0.0050
Zn      ,  0.1825  ,  0.0055
Br      ,  0.0390  ,  0.0015
