"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.77    ,  0.14  
MgO     ,  8.83    ,  0.25  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 40.98    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  7.50    ,  0.15  
Cl      ,  0.97    ,  0.03  
K2O     ,  0.54    ,  0.02  
CaO     ,  7.24    ,  0.08  
TiO2    ,  0.93    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.39    ,  0.03  
FeO     , 19.19    ,  0.20  
Ni      ,  0.0424  ,  0.0030
Zn      ,  0.0635  ,  0.0025
Br      ,  0.0232  ,  0.0010
