"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.14  
MgO     ,  6.23    ,  0.17  
Al2O3   ,  7.55    ,  0.19  
SiO2    , 35.40    ,  0.43  
P2O5    ,  3.32    ,  0.19  
SO3     , 12.23    ,  0.12  
Cl      ,  1.41    ,  0.03  
K2O     ,  0.54    ,  0.02  
CaO     ,  8.47    ,  0.10  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.21    ,  0.01  
MnO     ,  0.82    ,  0.03  
FeO     , 20.25    ,  0.26  
Ni      ,  0.0351  ,  0.0020
Zn      ,  0.1520  ,  0.0050
Br      ,  0.0339  ,  0.0015
