"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.73    ,  0.20  
MgO     ,  7.42    ,  0.25  
Al2O3   ,  9.07    ,  0.19  
SiO2    , 44.53    ,  0.54  
P2O5    ,  0.82    ,  0.07  
SO3     ,  5.05    ,  0.17  
Cl      ,  0.98    ,  0.05  
K2O     ,  0.67    ,  0.04  
CaO     ,  4.93    ,  0.10  
TiO2    ,  1.03    ,  0.07  
Cr2O3   ,  0.42    ,  0.05  
MnO     ,  0.25    ,  0.03  
FeO     , 21.84    ,  0.26  
Ni      ,  0.0727  ,  0.0065
Zn      ,  0.0587  ,  0.0040
Br      ,  0.0119  ,  0.0015
