"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.13  
MgO     ,  7.04    ,  0.17  
Al2O3   ,  9.05    ,  0.19  
SiO2    , 44.92    ,  0.53  
P2O5    ,  0.98    ,  0.07  
SO3     ,  3.87    ,  0.05  
Cl      ,  1.70    ,  0.02  
K2O     ,  0.69    ,  0.02  
CaO     ,  5.45    ,  0.06  
TiO2    ,  1.26    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 21.91    ,  0.26  
Ni      ,  0.0468  ,  0.0025
Zn      ,  0.0609  ,  0.0020
Br      ,  0.0174  ,  0.0010
