"Target: Mavor, Contains DAT files: APA_411516167ESC01580051954_______M2.DAT"
 7448.5  ,      15
 7473.0  ,      21
 7497.4  ,      16
 7521.8  ,      13
 7546.3  ,      14
 7570.7  ,      18
 7595.1  ,       4
 7619.6  ,       7
 7644.0  ,       9
 7668.4  ,       6
 7692.9  ,      11
 7717.3  ,       6
 7741.7  ,       4
 7766.2  ,       8
 7790.6  ,       9
 7815.0  ,       8
 7839.5  ,      12
 7863.9  ,       5
 7888.3  ,       7
 7912.8  ,      10
 7937.2  ,       6
 7961.6  ,       8
 7986.1  ,       9
 8010.5  ,       8
 8034.9  ,       7
 8059.4  ,       9
 8083.8  ,       8
 8108.2  ,       9
 8132.7  ,       9
 8157.1  ,      11
 8181.5  ,       9
 8206.0  ,       5
 8230.4  ,      12
 8254.8  ,      11
 8279.3  ,       8
 8303.7  ,       5
 8328.2  ,       3
 8352.6  ,      10
 8377.0  ,       5
 8401.5  ,       7
 8425.9  ,       9
 8450.3  ,       8
 8474.8  ,       4
 8499.2  ,      16
 8523.6  ,      18
 8548.1  ,      17
 8572.5  ,      22
 8596.9  ,      30
 8621.4  ,      26
 8645.8  ,      41
 8670.2  ,      21
 8694.7  ,      25
 8719.1  ,      17
 8743.5  ,      12
 8768.0  ,       7
 8792.4  ,       6
 8816.8  ,       7
 8841.3  ,       4
 8865.7  ,       8
 8890.1  ,       5
 8914.6  ,       6
 8939.0  ,       5
 8963.4  ,      10
 8987.9  ,       7
 9012.3  ,      12
 9036.7  ,       7
 9061.2  ,       8
 9085.6  ,       3
 9110.0  ,      10
 9134.5  ,       9
 9158.9  ,      13
 9183.3  ,       8
 9207.8  ,       7
 9232.2  ,       3
 9256.6  ,       8
 9281.1  ,       5
 9305.5  ,       3
 9329.9  ,       7
 9354.4  ,       7
 9378.8  ,       7
 9403.3  ,       6
 9427.7  ,       7
 9452.1  ,       9
 9476.6  ,      11
 9501.0  ,       8
 9525.4  ,       9
 9549.9  ,       9
 9574.3  ,      10
 9598.7  ,      12
 9623.2  ,      12
 9647.6  ,       7
 9672.0  ,       2
 9696.5  ,       6
 9720.9  ,       9
 9745.3  ,      11
 9769.8  ,      10
 9794.2  ,       5
 9818.6  ,      10
 9843.1  ,      13
 9867.5  ,       8
 9891.9  ,      12
 9916.4  ,      11
 9940.8  ,       8
 9965.2  ,       8
 9989.7  ,       7
10014.1  ,       5
10038.5  ,       8
10063.0  ,       7
10087.4  ,       3
10111.8  ,       2
10136.3  ,       7
10160.7  ,       4
10185.1  ,       9
10209.6  ,       3
10234.0  ,       7
10258.4  ,       7
10282.9  ,       8
10307.3  ,       6
10331.7  ,      10
10356.2  ,       7
10380.6  ,       5
10405.1  ,       7
10429.5  ,       7
10453.9  ,       5
10478.4  ,       5
10502.8  ,       6
10527.2  ,      14
10551.7  ,       6
10576.1  ,       8
10600.5  ,       7
10625.0  ,       4
10649.4  ,       5
10673.8  ,       8
10698.3  ,      13
10722.7  ,      11
10747.1  ,       8
10771.6  ,       6
10796.0  ,       8
10820.4  ,      12
10844.9  ,       1
10869.3  ,       6
10893.7  ,       3
10918.2  ,       3
10942.6  ,       5
10967.0  ,      10
10991.5  ,       5
11015.9  ,       6
11040.3  ,       6
11064.8  ,       6
11089.2  ,       8
11113.6  ,       8
11138.1  ,       7
11162.5  ,       6
11186.9  ,       7
11211.4  ,       5
11235.8  ,       8
11260.2  ,       5
11284.7  ,       8
11309.1  ,       8
11333.5  ,       9
11358.0  ,       6
11382.4  ,      14
11406.8  ,       9
11431.3  ,      15
11455.7  ,      20
11480.2  ,      14
11504.6  ,      17
11529.0  ,      12
11553.5  ,      18
11577.9  ,       9
11602.3  ,      10
11626.8  ,      13
11651.2  ,      10
11675.6  ,      18
11700.1  ,      11
11724.5  ,      15
11748.9  ,      20
11773.4  ,      20
