"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.50    ,  0.07  
MgO     ,  4.52    ,  0.17  
Al2O3   ,  5.07    ,  0.19  
SiO2    , 25.73    ,  0.32  
P2O5    ,  0.58    ,  0.05  
SO3     , 28.80    ,  0.30  
Cl      ,  0.90    ,  0.01  
K2O     ,  0.33    ,  0.01  
CaO     , 18.95    ,  0.20  
TiO2    ,  0.66    ,  0.03  
Cr2O3   ,  0.13    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 12.49    ,  0.13  
Ni      ,  0.0194  ,  0.0010
Zn      ,  0.0252  ,  0.0010
Br      ,  0.0139  ,  0.0005
