"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  3.96    ,  0.17  
Al2O3   ,  8.68    ,  0.19  
SiO2    , 48.74    ,  0.54  
P2O5    ,  1.19    ,  0.07  
SO3     ,  6.42    ,  0.12  
Cl      ,  0.58    ,  0.03  
K2O     ,  0.91    ,  0.04  
CaO     ,  4.99    ,  0.06  
TiO2    ,  1.05    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.27    ,  0.03  
FeO     , 20.12    ,  0.26  
Ni      ,  0.1045  ,  0.0055
Zn      ,  0.1201  ,  0.0040
Br      ,  0.0323  ,  0.0010
