"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  7.71    ,  0.17  
Al2O3   ,  8.53    ,  0.19  
SiO2    , 44.11    ,  0.54  
P2O5    ,  0.97    ,  0.07  
SO3     ,  8.53    ,  0.12  
Cl      ,  1.67    ,  0.03  
K2O     ,  1.06    ,  0.04  
CaO     ,  3.68    ,  0.04  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 19.23    ,  0.20  
Ni      ,  0.0813  ,  0.0045
Zn      ,  0.1135  ,  0.0035
Br      ,  0.0575  ,  0.0020
