"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.50    ,  0.14  
MgO     ,  7.71    ,  0.17  
Al2O3   ,  8.84    ,  0.19  
SiO2    , 38.69    ,  0.43  
P2O5    ,  0.90    ,  0.05  
SO3     ,  6.62    ,  0.08  
Cl      ,  1.71    ,  0.03  
K2O     ,  0.49    ,  0.02  
CaO     ,  5.09    ,  0.06  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.26    ,  0.01  
MnO     ,  0.46    ,  0.01  
FeO     , 25.58    ,  0.26  
Ni      ,  0.0471  ,  0.0025
Zn      ,  0.0843  ,  0.0030
Br      ,  0.0189  ,  0.0010
