"Target: Albert, Contains DAT files: APB_484092240ESC09760470598_______M1.DAT"
 7125.7  ,    9551
 7150.1  ,    5547
 7174.5  ,    2838
 7198.9  ,    1420
 7223.3  ,     679
 7247.7  ,     331
 7272.2  ,     223
 7296.6  ,     192
 7321.0  ,     219
 7345.4  ,     256
 7369.8  ,     298
 7394.2  ,     408
 7418.7  ,     395
 7443.1  ,     450
 7467.5  ,     485
 7491.9  ,     455
 7516.3  ,     370
 7540.7  ,     302
 7565.2  ,     256
 7589.6  ,     198
 7614.0  ,     158
 7638.4  ,     174
 7662.8  ,     131
 7687.2  ,     155
 7711.7  ,     149
 7736.1  ,     153
 7760.5  ,     124
 7784.9  ,     142
 7809.3  ,     113
 7833.7  ,     128
 7858.2  ,     144
 7882.6  ,     142
 7907.0  ,     168
 7931.4  ,     171
 7955.8  ,     154
 7980.2  ,     168
 8004.7  ,     162
 8029.1  ,     175
 8053.5  ,     176
 8077.9  ,     179
 8102.3  ,     203
 8126.7  ,     178
 8151.2  ,     177
 8175.6  ,     173
 8200.0  ,     173
 8224.4  ,     209
 8248.8  ,     175
 8273.2  ,     173
 8297.7  ,     201
 8322.1  ,     162
 8346.5  ,     161
 8370.9  ,     184
 8395.3  ,     179
 8419.7  ,     223
 8444.2  ,     241
 8468.6  ,     312
 8493.0  ,     415
 8517.4  ,     556
 8541.8  ,     819
 8566.2  ,    1015
 8590.7  ,    1143
 8615.1  ,    1252
 8639.5  ,    1170
 8663.9  ,    1035
 8688.3  ,     782
 8712.7  ,     565
 8737.2  ,     373
 8761.6  ,     238
 8786.0  ,     184
 8810.4  ,     141
 8834.8  ,     155
 8859.2  ,     147
 8883.6  ,     129
 8908.1  ,     138
 8932.5  ,     147
 8956.9  ,     151
 8981.3  ,     140
 9005.7  ,     158
 9030.1  ,     133
 9054.6  ,     132
 9079.0  ,     151
 9103.4  ,     163
 9127.8  ,     102
 9152.2  ,     145
 9176.6  ,     138
 9201.1  ,     158
 9225.5  ,     145
 9249.9  ,     172
 9274.3  ,     166
 9298.7  ,     138
 9323.1  ,     183
 9347.6  ,     144
 9372.0  ,     161
 9396.4  ,     173
