"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.13  
MgO     ,  7.49    ,  0.17  
Al2O3   ,  8.86    ,  0.19  
SiO2    , 44.39    ,  0.53  
P2O5    ,  0.62    ,  0.05  
SO3     ,  3.43    ,  0.05  
Cl      ,  0.81    ,  0.01  
K2O     ,  0.69    ,  0.02  
CaO     ,  6.30    ,  0.07  
TiO2    ,  1.32    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 22.51    ,  0.26  
Ni      ,  0.0502  ,  0.0030
Zn      ,  0.0660  ,  0.0020
Br      ,  0.0335  ,  0.0015
