"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  3.92    ,  0.14  
MgO     ,  5.09    ,  0.17  
Al2O3   , 11.93    ,  0.29  
SiO2    , 48.38    ,  0.54  
P2O5    ,  0.66    ,  0.05  
SO3     ,  2.69    ,  0.05  
Cl      ,  0.83    ,  0.01  
K2O     ,  1.79    ,  0.06  
CaO     ,  6.42    ,  0.07  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 16.31    ,  0.20  
Ni      ,  0.0154  ,  0.0010
Zn      ,  0.0408  ,  0.0015
Br      ,  0.0090  ,  0.0005
