"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.19    ,  0.14  
MgO     ,  6.85    ,  0.17  
Al2O3   , 11.03    ,  0.29  
SiO2    , 45.78    ,  0.64  
P2O5    ,  0.92    ,  0.07  
SO3     ,  7.07    ,  0.15  
Cl      ,  1.36    ,  0.05  
K2O     ,  0.76    ,  0.02  
CaO     ,  6.43    ,  0.08  
TiO2    ,  0.80    ,  0.05  
Cr2O3   ,  0.12    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 15.22    ,  0.20  
Ni      ,  0.0154  ,  0.0025
Zn      ,  0.0759  ,  0.0030
Br      ,  0.0167  ,  0.0010
