"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.89    ,  0.14  
MgO     ,  5.64    ,  0.17  
Al2O3   , 13.64    ,  0.29  
SiO2    , 47.53    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  6.62    ,  0.10  
Cl      ,  1.34    ,  0.03  
K2O     ,  0.85    ,  0.04  
CaO     ,  6.53    ,  0.07  
TiO2    ,  0.71    ,  0.03  
Cr2O3   ,  0.09    ,  0.01  
MnO     ,  0.16    ,  0.01  
FeO     , 11.93    ,  0.13  
Ni      ,  0.0102  ,  0.0010
Zn      ,  0.0621  ,  0.0020
Br      ,  0.0114  ,  0.0005
