"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.10    ,  0.07  
MgO     ,  6.41    ,  0.17  
Al2O3   ,  8.11    ,  0.19  
SiO2    , 40.81    ,  0.43  
P2O5    ,  0.84    ,  0.05  
SO3     ,  9.25    ,  0.10  
Cl      ,  1.28    ,  0.02  
K2O     ,  0.63    ,  0.02  
CaO     ,  7.93    ,  0.08  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 20.70    ,  0.26  
Ni      ,  0.0560  ,  0.0030
Zn      ,  0.0502  ,  0.0020
Br      ,  0.0084  ,  0.0005
