"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.56    ,  0.88  
MgO     ,  7.22    ,  0.75  
Al2O3   ,  8.10    ,  1.13  
SiO2    , 45.21    ,  1.60  
P2O5    ,  0.24    ,  0.55  
SO3     ,  4.09    ,  0.45  
Cl      ,  1.54    ,  0.16  
K2O     ,  0.52    ,  0.08  
CaO     ,  5.95    ,  0.60  
TiO2    ,  1.14    ,  0.30  
Cr2O3   ,  0.41    ,  0.09  
MnO     ,  0.30    ,  0.13  
FeO     , 23.48    ,  1.67  
Ni      ,  0.0106  ,  0.0050
Zn      ,  0.0558  ,  0.0060
Br      ,  0.0115  ,  0.0025
