"Target: Ungava, Contains DAT files: APA_411166790ESC01540051954_______M2.DAT"
 7448.9  ,      24
 7473.4  ,      15
 7497.9  ,      17
 7522.4  ,      18
 7546.9  ,      11
 7571.4  ,       7
 7595.9  ,      23
 7620.4  ,       8
 7644.9  ,      11
 7669.4  ,       8
 7693.9  ,      12
 7718.4  ,       7
 7742.9  ,      10
 7767.4  ,       8
 7791.9  ,      12
 7816.4  ,      10
 7840.9  ,      19
 7865.4  ,       8
 7889.9  ,       7
 7914.3  ,       8
 7938.8  ,      13
 7963.3  ,      10
 7987.8  ,      15
 8012.3  ,      16
 8036.8  ,      13
 8061.3  ,      10
 8085.8  ,       9
 8110.3  ,      11
 8134.8  ,       8
 8159.3  ,      12
 8183.8  ,      12
 8208.3  ,      10
 8232.8  ,      12
 8257.3  ,       8
 8281.8  ,      18
 8306.3  ,      10
 8330.8  ,       9
 8355.3  ,      23
 8379.8  ,      20
 8404.3  ,      23
 8428.7  ,      20
 8453.2  ,      21
 8477.7  ,      21
 8502.2  ,      41
 8526.7  ,      34
 8551.2  ,      54
 8575.7  ,      44
 8600.2  ,      39
 8624.7  ,      39
 8649.2  ,      43
 8673.7  ,      35
 8698.2  ,      39
 8722.7  ,      26
 8747.2  ,      32
 8771.7  ,      35
 8796.2  ,      18
 8820.7  ,      31
 8845.2  ,      17
 8869.7  ,      12
 8894.2  ,      18
 8918.7  ,      14
 8943.1  ,       8
 8967.6  ,       7
 8992.1  ,       6
 9016.6  ,       7
 9041.1  ,      12
 9065.6  ,       5
 9090.1  ,       8
 9114.6  ,       7
 9139.1  ,      12
 9163.6  ,       9
 9188.1  ,       7
 9212.6  ,       7
 9237.1  ,      13
 9261.6  ,       4
 9286.1  ,      16
 9310.6  ,      13
 9335.1  ,      17
 9359.6  ,      14
 9384.1  ,       9
 9408.6  ,      17
 9433.1  ,      11
 9457.5  ,      13
 9482.0  ,       9
 9506.5  ,      13
 9531.0  ,      14
 9555.5  ,      16
 9580.0  ,      12
 9604.5  ,      15
 9629.0  ,       6
 9653.5  ,      14
 9678.0  ,      12
 9702.5  ,      13
 9727.0  ,      15
 9751.5  ,       9
 9776.0  ,       6
 9800.5  ,       8
 9825.0  ,      13
 9849.5  ,       9
 9874.0  ,      10
 9898.5  ,      13
 9923.0  ,       7
 9947.5  ,       9
 9971.9  ,      16
 9996.4  ,      13
10020.9  ,      14
10045.4  ,       6
10069.9  ,       9
10094.4  ,       7
10118.9  ,       8
10143.4  ,       8
10167.9  ,      13
10192.4  ,       4
10216.9  ,      12
10241.4  ,       4
10265.9  ,      11
10290.4  ,      10
10314.9  ,      10
10339.4  ,       5
10363.9  ,       8
10388.4  ,       6
10412.9  ,       8
10437.4  ,      16
10461.9  ,       8
10486.3  ,      14
10510.8  ,       8
10535.3  ,      14
10559.8  ,       5
10584.3  ,       4
10608.8  ,      12
10633.3  ,       4
10657.8  ,       9
10682.3  ,       9
10706.8  ,       8
10731.3  ,       6
10755.8  ,       6
10780.3  ,       9
10804.8  ,       9
10829.3  ,      11
10853.8  ,      14
10878.3  ,      11
10902.8  ,       8
10927.3  ,      11
10951.8  ,      12
10976.3  ,      11
11000.7  ,       8
11025.2  ,      11
11049.7  ,      10
11074.2  ,      10
11098.7  ,      14
11123.2  ,      15
11147.7  ,       9
11172.2  ,       8
11196.7  ,       7
11221.2  ,      12
11245.7  ,      10
11270.2  ,       7
11294.7  ,       9
11319.2  ,      11
11343.7  ,      12
11368.2  ,      13
11392.7  ,      14
11417.2  ,      13
11441.7  ,      15
11466.2  ,      14
11490.6  ,      11
11515.1  ,      17
11539.6  ,      14
11564.1  ,      13
11588.6  ,      16
11613.1  ,      15
11637.6  ,      19
11662.1  ,      15
11686.6  ,      23
11711.1  ,      21
11735.6  ,      27
11760.1  ,      20
11784.6  ,      20
11809.1  ,      23
11833.6  ,      30
11858.1  ,      32
11882.6  ,      27
11907.1  ,      19
11931.6  ,      33
11956.1  ,      29
11980.6  ,      28
12005.0  ,      41
12029.5  ,      35
12054.0  ,      22
12078.5  ,      28
12103.0  ,      22
12127.5  ,      16
12152.0  ,      19
12176.5  ,      13
12201.0  ,      12
12225.5  ,      22
12250.0  ,      20
12274.5  ,      21
12299.0  ,      15
12323.5  ,      18
12348.0  ,      14
12372.5  ,      20
12397.0  ,      16
12421.5  ,      13
12446.0  ,      15
12470.5  ,      16
12495.0  ,      17
12519.4  ,      17
12543.9  ,      12
12568.4  ,      12
12592.9  ,      17
12617.4  ,       7
12641.9  ,      21
12666.4  ,      13
12690.9  ,      10
12715.4  ,      14
12739.9  ,      28
12764.4  ,      19
12788.9  ,      14
12813.4  ,      22
12837.9  ,      27
12862.4  ,      26
12886.9  ,      27
12911.4  ,      30
12935.9  ,      33
12960.4  ,      23
12984.9  ,      28
13009.4  ,      41
13033.8  ,      37
13058.3  ,      41
13082.8  ,      37
13107.3  ,      50
13131.8  ,      47
13156.3  ,      46
13180.8  ,      59
13205.3  ,      64
13229.8  ,      78
13254.3  ,     103
13278.8  ,      89
13303.3  ,      77
13327.8  ,     111
13352.3  ,      96
13376.8  ,     119
13401.3  ,     115
13425.8  ,     120
13450.3  ,     111
13474.8  ,      98
13499.3  ,     112
13523.8  ,     109
13548.2  ,     127
13572.7  ,     137
13597.2  ,     118
13621.7  ,     128
13646.2  ,     106
13670.7  ,      98
13695.2  ,     107
13719.7  ,     106
13744.2  ,      98
13768.7  ,      80
13793.2  ,      82
13817.7  ,      82
13842.2  ,      81
13866.7  ,      73
13891.2  ,      70
13915.7  ,      70
13940.2  ,      80
13964.7  ,      69
13989.2  ,      77
14013.7  ,      86
14038.2  ,     103
14062.6  ,     100
14087.1  ,     106
14111.6  ,     130
14136.1  ,     129
14160.6  ,     152
14185.1  ,     159
14209.6  ,     164
14234.1  ,     163
14258.6  ,     177
14283.1  ,     160
14307.6  ,     150
14332.1  ,     149
14356.6  ,     132
14381.1  ,     126
14405.6  ,     116
14430.1  ,      95
14454.6  ,      67
14479.1  ,      54
14503.6  ,      60
14528.1  ,      51
14552.6  ,      31
14577.0  ,      38
14601.5  ,      18
14626.0  ,      21
14650.5  ,      14
14675.0  ,      10
14699.5  ,      20
14724.0  ,      13
14748.5  ,      16
14773.0  ,      17
14797.5  ,      19
14822.0  ,      21
14846.5  ,       7
14871.0  ,      21
14895.5  ,      12
14920.0  ,      18
14944.5  ,      16
14969.0  ,      15
14993.5  ,      17
15018.0  ,      19
15042.5  ,      21
15067.0  ,      22
15091.4  ,      17
15115.9  ,      26
15140.4  ,      28
15164.9  ,      19
15189.4  ,      16
15213.9  ,      21
15238.4  ,      22
15262.9  ,      11
15287.4  ,      27
15311.9  ,      23
15336.4  ,      28
15360.9  ,      27
15385.4  ,      31
15409.9  ,      46
15434.4  ,      31
15458.9  ,      45
15483.4  ,      60
15507.9  ,      73
15532.4  ,      72
15556.9  ,      81
15581.3  ,      97
15605.8  ,     112
15630.3  ,     133
15654.8  ,     138
15679.3  ,     133
15703.8  ,     159
15728.3  ,     173
15752.8  ,     143
15777.3  ,     171
15801.8  ,     168
15826.3  ,     149
15850.8  ,     155
15875.3  ,     119
15899.8  ,     136
15924.3  ,     130
15948.8  ,      89
15973.3  ,      82
15997.8  ,      74
16022.3  ,      82
16046.8  ,      79
16071.3  ,      62
16095.7  ,      55
16120.2  ,      65
16144.7  ,      57
16169.2  ,      60
16193.7  ,      60
16218.2  ,      63
16242.7  ,      67
16267.2  ,      69
16291.7  ,      68
16316.2  ,      74
16340.7  ,      74
16365.2  ,      74
16389.7  ,      74
16414.2  ,      70
16438.7  ,      60
16463.2  ,      70
16487.7  ,      70
16512.2  ,      70
16536.7  ,      58
16561.2  ,      62
16585.7  ,      79
16610.1  ,      85
16634.6  ,      77
16659.1  ,      79
16683.6  ,      88
16708.1  ,      93
16732.6  ,      91
16757.1  ,      85
16781.6  ,      95
16806.1  ,     100
16830.6  ,      96
16855.1  ,     114
16879.6  ,     117
16904.1  ,     136
16928.6  ,     161
16953.1  ,     134
16977.6  ,     148
17002.1  ,     156
