"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.62    ,  0.14  
MgO     ,  5.73    ,  0.17  
Al2O3   ,  9.23    ,  0.19  
SiO2    , 48.26    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  6.95    ,  0.15  
Cl      ,  1.59    ,  0.04  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.41    ,  0.06  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.10    ,  0.01  
FeO     , 17.81    ,  0.20  
Ni      ,  0.1020  ,  0.0055
Zn      ,  0.0752  ,  0.0025
Br      ,  0.0136  ,  0.0010
