"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  1.81    ,  0.08  
Al2O3   ,  3.92    ,  0.10  
SiO2    , 53.24    ,  0.54  
P2O5    ,  1.15    ,  0.07  
SO3     , 11.92    ,  0.12  
Cl      ,  0.46    ,  0.01  
K2O     ,  0.30    ,  0.01  
CaO     ,  7.80    ,  0.08  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.45    ,  0.01  
MnO     ,  0.14    ,  0.02  
FeO     , 15.25    ,  0.20  
Ni      ,  0.0293  ,  0.0015
Zn      ,  0.0162  ,  0.0005
Br      ,  0.0228  ,  0.0010
