"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  8.24    ,  0.17  
Al2O3   ,  8.50    ,  0.19  
SiO2    , 42.87    ,  0.54  
P2O5    ,  2.49    ,  0.14  
SO3     ,  9.45    ,  0.12  
Cl      ,  1.61    ,  0.04  
K2O     ,  0.69    ,  0.02  
CaO     ,  4.54    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  1.24    ,  0.03  
FeO     , 16.14    ,  0.20  
Ni      ,  0.0502  ,  0.0030
Zn      ,  0.2171  ,  0.0070
Br      ,  0.0333  ,  0.0010
