"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.14  
MgO     ,  5.10    ,  0.17  
Al2O3   ,  8.21    ,  0.19  
SiO2    , 45.15    ,  0.54  
P2O5    ,  1.27    ,  0.07  
SO3     ,  9.61    ,  0.10  
Cl      ,  1.69    ,  0.03  
K2O     ,  0.84    ,  0.04  
CaO     ,  5.87    ,  0.07  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 17.95    ,  0.20  
Ni      ,  0.1027  ,  0.0055
Zn      ,  0.2292  ,  0.0070
Br      ,  0.0778  ,  0.0025
