"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  6.15    ,  0.17  
Al2O3   ,  9.18    ,  0.19  
SiO2    , 49.02    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  4.50    ,  0.10  
Cl      ,  1.21    ,  0.03  
K2O     ,  0.90    ,  0.04  
CaO     ,  3.35    ,  0.06  
TiO2    ,  1.07    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.21    ,  0.01  
FeO     , 20.16    ,  0.26  
Ni      ,  0.1096  ,  0.0055
Zn      ,  0.2409  ,  0.0075
Br      ,  0.0405  ,  0.0015
