"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  5.87    ,  0.17  
Al2O3   ,  9.05    ,  0.19  
SiO2    , 48.86    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     ,  6.39    ,  0.17  
Cl      ,  1.30    ,  0.06  
K2O     ,  0.78    ,  0.04  
CaO     ,  4.12    ,  0.08  
TiO2    ,  1.01    ,  0.05  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.13    ,  0.03  
FeO     , 18.61    ,  0.20  
Ni      ,  0.0838  ,  0.0055
Zn      ,  0.0810  ,  0.0040
Br      ,  0.0356  ,  0.0015
