"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  5.13    ,  0.17  
Al2O3   ,  8.61    ,  0.19  
SiO2    , 45.81    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  8.32    ,  0.10  
Cl      ,  1.15    ,  0.02  
K2O     ,  0.92    ,  0.04  
CaO     ,  5.06    ,  0.06  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 19.72    ,  0.26  
Ni      ,  0.0917  ,  0.0050
Zn      ,  0.0595  ,  0.0020
Br      ,  0.0075  ,  0.0005
