"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.28    ,  0.27  
MgO     ,  7.04    ,  0.33  
Al2O3   ,  8.38    ,  0.38  
SiO2    , 46.86    ,  0.75  
P2O5    ,  1.29    ,  0.09  
SO3     ,  5.26    ,  0.20  
Cl      ,  1.13    ,  0.06  
K2O     ,  0.75    ,  0.04  
CaO     ,  3.78    ,  0.08  
TiO2    ,  1.09    ,  0.07  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.28    ,  0.04  
FeO     , 21.00    ,  0.26  
Ni      ,  0.0839  ,  0.0070
Zn      ,  0.1834  ,  0.0065
Br      ,  0.0913  ,  0.0030
