"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.60    ,  0.13  
MgO     ,  7.74    ,  0.17  
Al2O3   ,  9.02    ,  0.19  
SiO2    , 47.78    ,  0.53  
P2O5    ,  0.86    ,  0.05  
SO3     ,  1.18    ,  0.02  
Cl      ,  1.06    ,  0.02  
K2O     ,  0.77    ,  0.02  
CaO     ,  5.38    ,  0.06  
TiO2    ,  1.23    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 21.48    ,  0.26  
Ni      ,  0.0462  ,  0.0025
Zn      ,  0.0626  ,  0.0020
Br      ,  0.0323  ,  0.0010
