"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.20  
MgO     ,  4.46    ,  0.25  
Al2O3   ,  9.57    ,  0.29  
SiO2    , 50.11    ,  0.75  
P2O5    ,  0.93    ,  0.07  
SO3     ,  5.67    ,  0.20  
Cl      ,  0.71    ,  0.05  
K2O     ,  0.79    ,  0.04  
CaO     ,  4.76    ,  0.10  
TiO2    ,  0.98    ,  0.09  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.29    ,  0.04  
FeO     , 18.30    ,  0.20  
Ni      ,  0.1089  ,  0.0075
Zn      ,  0.2254  ,  0.0070
Br      ,  0.0033  ,  0.0015
