"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.44    ,  0.20  
MgO     ,  5.31    ,  0.17  
Al2O3   ,  4.97    ,  0.19  
SiO2    , 28.05    ,  0.54  
P2O5    ,  0.84    ,  0.07  
SO3     , 21.04    ,  0.38  
Cl      ,  1.69    ,  0.07  
K2O     ,  0.05    ,  0.01  
CaO     , 19.35    ,  0.21  
TiO2    ,  0.45    ,  0.05  
Cr2O3   ,  0.21    ,  0.03  
MnO     ,  0.84    ,  0.04  
FeO     , 15.35    ,  0.20  
Ni      ,  0.0419  ,  0.0050
Zn      ,  0.1681  ,  0.0055
Br      ,  0.0133  ,  0.0015
