"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.25    ,  0.20  
MgO     ,  5.83    ,  0.17  
Al2O3   ,  4.74    ,  0.19  
SiO2    , 26.99    ,  0.43  
P2O5    ,  0.71    ,  0.07  
SO3     , 19.22    ,  0.32  
Cl      ,  1.50    ,  0.06  
K2O     ,  0.07    ,  0.02  
CaO     , 25.23    ,  0.27  
TiO2    ,  0.46    ,  0.05  
Cr2O3   ,  0.20    ,  0.03  
MnO     ,  0.49    ,  0.04  
FeO     , 12.94    ,  0.20  
Ni      ,  0.0463  ,  0.0050
Zn      ,  0.2033  ,  0.0065
Br      ,  0.0150  ,  0.0020
