"Target: Mojave2_postsieve_dump, Contains DAT files: APB_476905000ESC08950450000_______M1.DAT"
 7153.0  ,    3060
 7177.5  ,    1663
 7201.9  ,     864
 7226.3  ,     464
 7250.8  ,     266
 7275.2  ,     222
 7299.6  ,     263
 7324.0  ,     302
 7348.5  ,     395
 7372.9  ,     557
 7397.3  ,     708
 7421.8  ,     988
 7446.2  ,    1046
 7470.6  ,    1023
 7495.0  ,     817
 7519.5  ,     696
 7543.9  ,     500
 7568.3  ,     324
 7592.7  ,     288
 7617.2  ,     203
 7641.6  ,     154
 7666.0  ,     146
 7690.5  ,     159
 7714.9  ,     129
 7739.3  ,     173
 7763.7  ,     175
 7788.2  ,     159
 7812.6  ,     148
 7837.0  ,     179
 7861.5  ,     192
 7885.9  ,     207
 7910.3  ,     193
 7934.7  ,     166
 7959.2  ,     213
 7983.6  ,     206
 8008.0  ,     247
 8032.5  ,     234
 8056.9  ,     241
 8081.3  ,     221
 8105.7  ,     205
 8130.2  ,     213
 8154.6  ,     236
 8179.0  ,     244
 8203.5  ,     274
 8227.9  ,     290
 8252.3  ,     297
 8276.7  ,     275
 8301.2  ,     253
 8325.6  ,     259
 8350.0  ,     251
 8374.5  ,     254
 8398.9  ,     252
 8423.3  ,     335
 8447.7  ,     455
 8472.2  ,     668
 8496.6  ,    1052
 8521.0  ,    1583
 8545.5  ,    2169
 8569.9  ,    2807
 8594.3  ,    3280
 8618.7  ,    3433
 8643.2  ,    3173
 8667.6  ,    2625
 8692.0  ,    2023
 8716.5  ,    1287
 8740.9  ,     794
 8765.3  ,     442
 8789.7  ,     319
 8814.2  ,     225
 8838.6  ,     178
 8863.0  ,     144
 8887.5  ,     158
 8911.9  ,     147
 8936.3  ,     144
 8960.7  ,     143
 8985.2  ,     153
 9009.6  ,     132
 9034.0  ,     156
 9058.5  ,     155
 9082.9  ,     160
 9107.3  ,     175
 9131.7  ,     150
 9156.2  ,     180
 9180.6  ,     170
 9205.0  ,     200
 9229.4  ,     187
