"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.01    ,  0.14  
MgO     ,  4.55    ,  0.17  
Al2O3   , 11.43    ,  0.29  
SiO2    , 49.48    ,  0.54  
P2O5    ,  1.29    ,  0.07  
SO3     ,  6.27    ,  0.08  
Cl      ,  0.43    ,  0.02  
K2O     ,  0.73    ,  0.02  
CaO     ,  4.33    ,  0.06  
TiO2    ,  1.19    ,  0.05  
Cr2O3   ,  0.37    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 16.11    ,  0.20  
Ni      ,  0.1032  ,  0.0055
Zn      ,  0.2204  ,  0.0070
Br      ,  0.0065  ,  0.0005
