"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.00    ,  0.14  
MgO     ,  9.76    ,  0.25  
Al2O3   ,  8.24    ,  0.19  
SiO2    , 42.59    ,  0.43  
P2O5    ,  0.68    ,  0.05  
SO3     ,  4.60    ,  0.08  
Cl      ,  1.67    ,  0.03  
K2O     ,  0.86    ,  0.04  
CaO     ,  5.90    ,  0.07  
TiO2    ,  0.77    ,  0.03  
Cr2O3   ,  0.50    ,  0.01  
MnO     ,  0.48    ,  0.01  
FeO     , 20.84    ,  0.26  
Ni      ,  0.0406  ,  0.0025
Zn      ,  0.0274  ,  0.0015
Br      ,  0.0054  ,  0.0005
