"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.14  
MgO     ,  6.20    ,  0.17  
Al2O3   ,  9.62    ,  0.29  
SiO2    , 50.14    ,  0.54  
P2O5    ,  1.38    ,  0.09  
SO3     ,  2.40    ,  0.08  
Cl      ,  0.69    ,  0.02  
K2O     ,  0.88    ,  0.04  
CaO     ,  2.74    ,  0.04  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 21.46    ,  0.26  
Ni      ,  0.0880  ,  0.0045
Zn      ,  0.0886  ,  0.0030
Br      ,  0.0499  ,  0.0015
