"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.20  
MgO     ,  4.98    ,  0.17  
Al2O3   ,  9.32    ,  0.29  
SiO2    , 48.71    ,  0.64  
P2O5    ,  0.92    ,  0.07  
SO3     ,  7.01    ,  0.17  
Cl      ,  0.81    ,  0.04  
K2O     ,  0.94    ,  0.04  
CaO     ,  5.28    ,  0.08  
TiO2    ,  0.97    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 17.74    ,  0.20  
Ni      ,  0.0828  ,  0.0050
Zn      ,  0.1037  ,  0.0035
Br      ,  0.0121  ,  0.0010
