"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  8.78    ,  0.25  
Al2O3   ,  8.67    ,  0.19  
SiO2    , 40.62    ,  0.43  
P2O5    ,  0.86    ,  0.05  
SO3     ,  6.20    ,  0.10  
Cl      ,  0.72    ,  0.02  
K2O     ,  0.48    ,  0.02  
CaO     ,  6.71    ,  0.07  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.56    ,  0.01  
MnO     ,  0.40    ,  0.01  
FeO     , 22.10    ,  0.26  
Ni      ,  0.0727  ,  0.0040
Zn      ,  0.0467  ,  0.0015
Br      ,  0.0168  ,  0.0010
