"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.14  
MgO     ,  7.14    ,  0.17  
Al2O3   ,  8.30    ,  0.19  
SiO2    , 42.73    ,  0.43  
P2O5    ,  0.97    ,  0.07  
SO3     ,  9.77    ,  0.12  
Cl      ,  1.09    ,  0.03  
K2O     ,  0.58    ,  0.02  
CaO     ,  6.51    ,  0.07  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 18.55    ,  0.20  
Ni      ,  0.0684  ,  0.0035
Zn      ,  0.3122  ,  0.0095
Br      ,  0.0406  ,  0.0015
