"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.13    ,  0.07  
MgO     ,  8.68    ,  0.25  
Al2O3   ,  8.58    ,  0.19  
SiO2    , 43.49    ,  0.54  
P2O5    ,  2.01    ,  0.12  
SO3     ,  7.41    ,  0.10  
Cl      ,  1.47    ,  0.03  
K2O     ,  0.73    ,  0.02  
CaO     ,  4.34    ,  0.06  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  1.03    ,  0.03  
FeO     , 18.32    ,  0.20  
Ni      ,  0.0656  ,  0.0035
Zn      ,  0.1950  ,  0.0060
Br      ,  0.0450  ,  0.0015
