"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.34    ,  0.14  
MgO     ,  5.40    ,  0.17  
Al2O3   ,  4.10    ,  0.19  
SiO2    , 28.27    ,  0.43  
P2O5    ,  1.01    ,  0.09  
SO3     , 23.71    ,  0.38  
Cl      ,  1.28    ,  0.06  
K2O     ,  0.20    ,  0.02  
CaO     , 21.50    ,  0.22  
TiO2    ,  0.47    ,  0.05  
Cr2O3   ,  0.15    ,  0.03  
MnO     ,  0.51    ,  0.04  
FeO     , 11.82    ,  0.13  
Ni      ,  0.0397  ,  0.0050
Zn      ,  0.0975  ,  0.0045
Br      ,  0.0217  ,  0.0015
