"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     ,  7.10    ,  0.17  
Al2O3   ,  7.67    ,  0.19  
SiO2    , 34.64    ,  0.43  
P2O5    ,  3.20    ,  0.16  
SO3     , 10.46    ,  0.12  
Cl      ,  1.69    ,  0.03  
K2O     ,  0.51    ,  0.02  
CaO     ,  6.73    ,  0.07  
TiO2    ,  0.86    ,  0.03  
Cr2O3   ,  0.16    ,  0.01  
MnO     ,  0.76    ,  0.03  
FeO     , 23.49    ,  0.26  
Ni      ,  0.0440  ,  0.0025
Zn      ,  0.2174  ,  0.0070
Br      ,  0.0369  ,  0.0015
