"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  5.46    ,  0.17  
Al2O3   ,  9.46    ,  0.29  
SiO2    , 48.93    ,  0.54  
P2O5    ,  0.80    ,  0.05  
SO3     ,  7.61    ,  0.10  
Cl      ,  0.99    ,  0.02  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.76    ,  0.06  
TiO2    ,  0.89    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 16.80    ,  0.20  
Ni      ,  0.0898  ,  0.0045
Zn      ,  0.1308  ,  0.0040
Br      ,  0.0055  ,  0.0005
