"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.24    ,  0.14  
MgO     ,  6.89    ,  0.17  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 42.46    ,  0.43  
P2O5    ,  0.77    ,  0.05  
SO3     ,  8.00    ,  0.12  
Cl      ,  0.55    ,  0.02  
K2O     ,  0.63    ,  0.02  
CaO     ,  6.07    ,  0.07  
TiO2    ,  1.20    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.42    ,  0.01  
FeO     , 21.38    ,  0.26  
Ni      ,  0.0756  ,  0.0040
Zn      ,  0.4351  ,  0.0135
Br      ,  0.0529  ,  0.0020
