"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.20  
MgO     ,  7.00    ,  0.25  
Al2O3   ,  8.49    ,  0.29  
SiO2    , 45.14    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  5.80    ,  0.12  
Cl      ,  1.37    ,  0.04  
K2O     ,  1.01    ,  0.04  
CaO     ,  4.21    ,  0.06  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 21.88    ,  0.26  
Ni      ,  0.0949  ,  0.0050
Zn      ,  0.1364  ,  0.0045
Br      ,  0.0633  ,  0.0020
