"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.05    ,  0.14  
MgO     ,  6.30    ,  0.17  
Al2O3   ,  9.83    ,  0.29  
SiO2    , 51.62    ,  0.54  
P2O5    ,  1.15    ,  0.07  
SO3     ,  2.26    ,  0.05  
Cl      ,  0.50    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  5.80    ,  0.07  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 16.76    ,  0.20  
Ni      ,  0.0587  ,  0.0030
Zn      ,  0.1547  ,  0.0050
Br      ,  0.0089  ,  0.0005
