"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.13  
MgO     ,  6.19    ,  0.17  
Al2O3   , 10.26    ,  0.28  
SiO2    , 43.99    ,  0.53  
P2O5    ,  0.81    ,  0.05  
SO3     ,  6.64    ,  0.10  
Cl      ,  0.89    ,  0.02  
K2O     ,  0.74    ,  0.02  
CaO     ,  7.04    ,  0.08  
TiO2    ,  1.33    ,  0.05  
Cr2O3   ,  0.24    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 18.69    ,  0.19  
Ni      ,  0.0273  ,  0.0015
Zn      ,  0.0402  ,  0.0015
Br      ,  0.0067  ,  0.0005
