"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.93    ,  0.20  
MgO     ,  6.65    ,  0.41  
Al2O3   ,  8.12    ,  0.47  
SiO2    , 44.69    ,  0.96  
P2O5    ,  0.63    ,  0.09  
SO3     ,  4.82    ,  0.25  
Cl      ,  1.24    ,  0.07  
K2O     ,  0.63    ,  0.04  
CaO     ,  6.16    ,  0.32  
TiO2    ,  1.36    ,  0.08  
Cr2O3   ,  0.39    ,  0.04  
MnO     ,  0.32    ,  0.04  
FeO     , 22.75    ,  0.51  
Ni      ,  0.0434  ,  0.0045
Zn      ,  0.0643  ,  0.0035
Br      ,  0.0224  ,  0.0015
