"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.09    ,  0.07  
MgO     ,  7.01    ,  0.17  
Al2O3   ,  8.55    ,  0.19  
SiO2    , 44.88    ,  0.53  
P2O5    ,  0.80    ,  0.05  
SO3     ,  4.73    ,  0.05  
Cl      ,  1.51    ,  0.02  
K2O     ,  0.64    ,  0.02  
CaO     ,  5.88    ,  0.07  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 21.92    ,  0.26  
Ni      ,  0.0657  ,  0.0035
Zn      ,  0.0682  ,  0.0025
Br      ,  0.0183  ,  0.0010
