"Target: Bonnet_Plume_2_and_APXS_RP, Contains DAT files: APA_411782708ESC01610051986_______M2.DAT"
 7402.4  ,      40
 7426.8  ,      39
 7451.2  ,      38
 7475.7  ,      38
 7500.1  ,      38
 7524.5  ,      30
 7549.0  ,      41
 7573.4  ,      20
 7597.9  ,      16
 7622.3  ,      17
 7646.7  ,       6
 7671.2  ,      13
 7695.6  ,      11
 7720.0  ,       9
 7744.5  ,       6
 7768.9  ,       7
 7793.3  ,      10
 7817.8  ,      10
 7842.2  ,      12
 7866.7  ,       9
 7891.1  ,       6
 7915.5  ,       9
 7940.0  ,       6
 7964.4  ,       9
 7988.8  ,      13
 8013.3  ,      18
 8037.7  ,      10
 8062.1  ,       7
 8086.6  ,      10
 8111.0  ,      15
 8135.5  ,      10
 8159.9  ,      15
 8184.3  ,      11
 8208.8  ,      18
 8233.2  ,       6
 8257.6  ,      16
 8282.1  ,      10
 8306.5  ,      12
 8330.9  ,       9
 8355.4  ,      13
 8379.8  ,      10
 8404.3  ,      16
 8428.7  ,      19
 8453.1  ,      16
 8477.6  ,      22
 8502.0  ,      31
 8526.4  ,      43
 8550.9  ,      46
 8575.3  ,      66
 8599.7  ,      61
 8624.2  ,      54
 8648.6  ,      55
 8673.0  ,      59
 8697.5  ,      44
 8721.9  ,      30
 8746.4  ,      26
 8770.8  ,      22
 8795.2  ,      17
 8819.7  ,       9
 8844.1  ,       8
 8868.5  ,      10
 8893.0  ,       8
 8917.4  ,       3
 8941.8  ,      12
 8966.3  ,       9
 8990.7  ,      10
 9015.2  ,       9
 9039.6  ,      10
 9064.0  ,       5
 9088.5  ,       9
 9112.9  ,       5
 9137.3  ,       8
 9161.8  ,      10
 9186.2  ,      13
 9210.6  ,       9
 9235.1  ,      15
 9259.5  ,      11
 9284.0  ,       7
 9308.4  ,       8
 9332.8  ,       3
 9357.3  ,      11
 9381.7  ,      10
 9406.1  ,      11
 9430.6  ,      11
 9455.0  ,      11
 9479.4  ,      16
 9503.9  ,      15
 9528.3  ,      21
 9552.8  ,      21
 9577.2  ,      13
