"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     ,  6.12    ,  0.17  
Al2O3   ,  8.75    ,  0.29  
SiO2    , 47.88    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  5.47    ,  0.10  
Cl      ,  1.47    ,  0.04  
K2O     ,  1.19    ,  0.04  
CaO     ,  4.12    ,  0.06  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.36    ,  0.03  
MnO     ,  0.19    ,  0.01  
FeO     , 19.71    ,  0.26  
Ni      ,  0.0955  ,  0.0050
Zn      ,  0.1837  ,  0.0060
Br      ,  0.0832  ,  0.0025
