"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.20  
MgO     ,  5.63    ,  0.17  
Al2O3   ,  8.57    ,  0.29  
SiO2    , 43.69    ,  0.64  
P2O5    ,  2.46    ,  0.14  
SO3     ,  5.07    ,  0.15  
Cl      ,  2.00    ,  0.06  
K2O     ,  0.70    ,  0.02  
CaO     ,  3.09    ,  0.06  
TiO2    ,  0.98    ,  0.07  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.19    ,  0.03  
FeO     , 24.31    ,  0.26  
Ni      ,  0.0903  ,  0.0050
Zn      ,  0.0796  ,  0.0035
Br      ,  0.0060  ,  0.0010
