"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  6.22    ,  0.17  
Al2O3   ,  7.75    ,  0.19  
SiO2    , 38.83    ,  0.43  
P2O5    ,  1.01    ,  0.07  
SO3     , 14.93    ,  0.15  
Cl      ,  1.66    ,  0.03  
K2O     ,  0.99    ,  0.04  
CaO     ,  8.55    ,  0.10  
TiO2    ,  0.99    ,  0.10  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 15.79    ,  0.20  
Ni      ,  0.0776  ,  0.0040
Zn      ,  0.1121  ,  0.0035
Br      ,  0.0850  ,  0.0030
