"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  7.48    ,  0.17  
Al2O3   ,  9.05    ,  0.19  
SiO2    , 44.70    ,  0.54  
P2O5    ,  1.23    ,  0.07  
SO3     , 10.35    ,  0.12  
Cl      ,  1.03    ,  0.02  
K2O     ,  0.67    ,  0.02  
CaO     ,  5.04    ,  0.06  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.21    ,  0.02  
FeO     , 16.19    ,  0.20  
Ni      ,  0.1934  ,  0.0100
Zn      ,  0.0999  ,  0.0030
Br      ,  0.0266  ,  0.0010
