"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.20  
MgO     ,  9.56    ,  0.25  
Al2O3   ,  8.92    ,  0.29  
SiO2    , 43.53    ,  0.64  
P2O5    ,  0.72    ,  0.07  
SO3     ,  3.52    ,  0.15  
Cl      ,  0.52    ,  0.04  
K2O     ,  0.39    ,  0.04  
CaO     ,  7.05    ,  0.13  
TiO2    ,  1.20    ,  0.07  
Cr2O3   ,  0.73    ,  0.05  
MnO     ,  0.45    ,  0.04  
FeO     , 20.88    ,  0.26  
Ni      ,  0.0443  ,  0.0055
Zn      ,  0.0236  ,  0.0030
Br      ,  0.0029  ,  0.0015
