"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.14  
MgO     ,  8.37    ,  0.25  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 43.07    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  5.74    ,  0.08  
Cl      ,  1.24    ,  0.02  
K2O     ,  2.52    ,  0.08  
CaO     ,  5.72    ,  0.07  
TiO2    ,  0.86    ,  0.03  
Cr2O3   ,  0.48    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 19.81    ,  0.26  
Ni      ,  0.0282  ,  0.0015
Zn      ,  0.1208  ,  0.0040
Br      ,  0.0110  ,  0.0005
