"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  4.41    ,  0.17  
Al2O3   , 12.61    ,  0.29  
SiO2    , 48.57    ,  0.54  
P2O5    ,  1.45    ,  0.09  
SO3     ,  6.73    ,  0.10  
Cl      ,  0.47    ,  0.02  
K2O     ,  0.74    ,  0.02  
CaO     ,  4.63    ,  0.06  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.45    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 15.48    ,  0.20  
Ni      ,  0.0960  ,  0.0050
Zn      ,  0.1740  ,  0.0055
Br      ,  0.0049  ,  0.0005
