"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.21    ,  0.14  
MgO     ,  5.84    ,  0.17  
Al2O3   ,  8.24    ,  0.19  
SiO2    , 41.55    ,  0.43  
P2O5    ,  0.81    ,  0.05  
SO3     ,  9.89    ,  0.12  
Cl      ,  0.95    ,  0.02  
K2O     ,  0.60    ,  0.02  
CaO     ,  7.03    ,  0.08  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 20.59    ,  0.26  
Ni      ,  0.0818  ,  0.0045
Zn      ,  0.2494  ,  0.0075
Br      ,  0.0211  ,  0.0010
