"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.08    ,  0.14  
MgO     ,  8.97    ,  0.25  
Al2O3   ,  9.64    ,  0.29  
SiO2    , 45.10    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  0.96    ,  0.03  
Cl      ,  0.50    ,  0.01  
K2O     ,  0.37    ,  0.01  
CaO     ,  6.36    ,  0.07  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.41    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 22.39    ,  0.26  
Ni      ,  0.0494  ,  0.0025
Zn      ,  0.0321  ,  0.0010
Br      ,  0.0106  ,  0.0005
