"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.78    ,  0.14  
MgO     ,  4.53    ,  0.17  
Al2O3   , 12.92    ,  0.29  
SiO2    , 50.24    ,  0.54  
P2O5    ,  1.51    ,  0.09  
SO3     ,  6.76    ,  0.08  
Cl      ,  0.43    ,  0.01  
K2O     ,  0.66    ,  0.02  
CaO     ,  4.19    ,  0.04  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.41    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 13.79    ,  0.20  
Ni      ,  0.0946  ,  0.0050
Zn      ,  0.1702  ,  0.0055
Br      ,  0.0038  ,  0.0005
