"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  6.79    ,  0.17  
Al2O3   ,  9.13    ,  0.19  
SiO2    , 46.59    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.72    ,  0.08  
Cl      ,  0.94    ,  0.02  
K2O     ,  0.89    ,  0.04  
CaO     ,  4.02    ,  0.04  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 20.42    ,  0.26  
Ni      ,  0.0834  ,  0.0045
Zn      ,  0.0939  ,  0.0030
Br      ,  0.0092  ,  0.0005
