"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.17    ,  0.14  
MgO     ,  7.89    ,  0.17  
Al2O3   , 10.20    ,  0.29  
SiO2    , 46.64    ,  0.54  
P2O5    ,  1.31    ,  0.07  
SO3     ,  1.90    ,  0.05  
Cl      ,  0.58    ,  0.02  
K2O     ,  2.37    ,  0.07  
CaO     ,  6.00    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 17.06    ,  0.20  
Ni      ,  0.0716  ,  0.0040
Zn      ,  0.1367  ,  0.0045
Br      ,  0.0074  ,  0.0005
