"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  5.11    ,  0.17  
Al2O3   ,  8.71    ,  0.19  
SiO2    , 47.71    ,  0.54  
P2O5    ,  1.13    ,  0.07  
SO3     ,  6.30    ,  0.08  
Cl      ,  1.39    ,  0.02  
K2O     ,  1.03    ,  0.04  
CaO     ,  4.30    ,  0.06  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 20.09    ,  0.26  
Ni      ,  0.0949  ,  0.0050
Zn      ,  0.0622  ,  0.0020
Br      ,  0.0617  ,  0.0020
